"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"145","0.9331","-110.037","","Cosine","cosine","1533.0","1533 (-) 1774","1533.0","false","cosine","1533 (-) 1774","motif_51,rhamn_motif_163.m2m","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"145","0.9331","-110.037","motif_51","Mass2Motif","motif_51","1533.0","1533 (-) 1774","1533.0","false","motif_51","1533 (-) 1774","motif_51,rhamn_motif_163.m2m","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"145","0.9331","-110.037","rhamn_motif_163.m2m","Mass2Motif","rhamn_motif_163.m2m","1533.0","1533 (-) 1774","1533.0","false","rhamn_motif_163.m2m","1533 (-) 1774","motif_51,rhamn_motif_163.m2m","motif_51,rhamn_motif_163.m2m,motif_168,motif_108,motif_59"
"47","0.9102","-30.01","","Cosine","cosine","1534.0","1534 (-) 1606","1534.0","false","cosine","1534 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9102","-30.01","motif_72","Mass2Motif","motif_72","1534.0","1534 (-) 1606","1534.0","false","motif_72","1534 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9102","-30.01","motif_51","Mass2Motif","motif_51","1534.0","1534 (-) 1606","1534.0","false","motif_51","1534 (-) 1606","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9362","-12.0","","Cosine","cosine","1534.0","1534 (-) 1563","1534.0","false","cosine","1534 (-) 1563","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9362","-12.0","motif_72","Mass2Motif","motif_72","1534.0","1534 (-) 1563","1534.0","false","motif_72","1534 (-) 1563","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9362","-12.0","motif_51","Mass2Motif","motif_51","1534.0","1534 (-) 1563","1534.0","false","motif_51","1534 (-) 1563","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9087","-13.979000000000001","","Cosine","cosine","1534.0","1534 (-) 1565","1534.0","false","cosine","1534 (-) 1565","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
